forecast_date,target,target_end_date,location,type,quantile,value
2021-10-31,1 wk ahead inc case,2021-11-06,01001,quantile,0.025,33.077436663163226
2021-10-31,1 wk ahead inc case,2021-11-06,01001,quantile,0.100,62.83533037102826
2021-10-31,1 wk ahead inc case,2021-11-06,01001,quantile,0.250,96.1137901178348
2021-10-31,1 wk ahead inc case,2021-11-06,01001,quantile,0.500,146.4913770879512
2021-10-31,1 wk ahead inc case,2021-11-06,01001,point,NA,146.4913770879512
2021-10-31,1 wk ahead inc case,2021-11-06,01001,quantile,0.750,214.40047082678248
2021-10-31,1 wk ahead inc case,2021-11-06,01001,quantile,0.900,284.72077125743505
2021-10-31,1 wk ahead inc case,2021-11-06,01001,quantile,0.975,441.5859642667827
2021-10-31,1 wk ahead inc case,2021-11-06,01003,quantile,0.025,74.82331165606433
2021-10-31,1 wk ahead inc case,2021-11-06,01003,quantile,0.100,104.5763722672424
2021-10-31,1 wk ahead inc case,2021-11-06,01003,quantile,0.250,123.56716643187391
2021-10-31,1 wk ahead inc case,2021-11-06,01003,quantile,0.500,148.6023146562683
2021-10-31,1 wk ahead inc case,2021-11-06,01003,point,NA,148.6023146562683
2021-10-31,1 wk ahead inc case,2021-11-06,01003,quantile,0.750,174.4750329516457
2021-10-31,1 wk ahead inc case,2021-11-06,01003,quantile,0.900,206.88191208268103
2021-10-31,1 wk ahead inc case,2021-11-06,01003,quantile,0.975,276.3909696080408
2021-10-31,1 wk ahead inc case,2021-11-06,01005,quantile,0.025,6.863088011692863
2021-10-31,1 wk ahead inc case,2021-11-06,01005,quantile,0.100,11.828476261500564
2021-10-31,1 wk ahead inc case,2021-11-06,01005,quantile,0.250,16.08266995396711
2021-10-31,1 wk ahead inc case,2021-11-06,01005,quantile,0.500,21.73379489388158
2021-10-31,1 wk ahead inc case,2021-11-06,01005,point,NA,21.73379489388158
2021-10-31,1 wk ahead inc case,2021-11-06,01005,quantile,0.750,28.52510037999403
2021-10-31,1 wk ahead inc case,2021-11-06,01005,quantile,0.900,37.14149798300725
2021-10-31,1 wk ahead inc case,2021-11-06,01005,quantile,0.975,56.691100362698045
2021-10-31,1 wk ahead inc case,2021-11-06,01007,quantile,0.025,11.758916507993828
2021-10-31,1 wk ahead inc case,2021-11-06,01007,quantile,0.100,16.98122731238948
2021-10-31,1 wk ahead inc case,2021-11-06,01007,quantile,0.250,20.603581213950672
2021-10-31,1 wk ahead inc case,2021-11-06,01007,quantile,0.500,25.50689912578046
2021-10-31,1 wk ahead inc case,2021-11-06,01007,point,NA,25.50689912578046
2021-10-31,1 wk ahead inc case,2021-11-06,01007,quantile,0.750,30.453294008971064
2021-10-31,1 wk ahead inc case,2021-11-06,01007,quantile,0.900,37.06585961240357
2021-10-31,1 wk ahead inc case,2021-11-06,01007,quantile,0.975,51.53872656058113
2021-10-31,1 wk ahead inc case,2021-11-06,01009,quantile,0.025,47.1639809964517
2021-10-31,1 wk ahead inc case,2021-11-06,01009,quantile,0.100,75.52866074282046
2021-10-31,1 wk ahead inc case,2021-11-06,01009,quantile,0.250,101.1198176572164
