Date,Cases [C],Deaths [D],Recovered [R],Infected [C - R],Infected v2 [C - (R + D)]
1/22/2020,1,0,0,1,1
1/23/2020,1,0,0,1,1
1/24/2020,2,0,0,2,2
1/25/2020,2,0,0,2,2
1/26/2020,5,0,0,5,5
1/27/2020,5,0,0,5,5
1/28/2020,5,0,0,5,5
1/29/2020,6,0,0,6,6
1/30/2020,6,0,0,6,6
1/31/2020,8,0,0,8,8
2/1/2020,8,0,0,8,8
2/2/2020,8,0,0,8,8
2/3/2020,11,0,0,11,11
2/4/2020,11,0,0,11,11
2/5/2020,11,0,0,11,11
2/6/2020,12,0,0,12,12
2/7/2020,12,0,0,12,12
2/8/2020,12,0,0,12,12
2/9/2020,12,0,3,9,9
2/10/2020,12,0,3,9,9
2/11/2020,13,0,3,10,10
2/12/2020,13,0,3,10,10
2/13/2020,14,0,3,11,11
2/14/2020,14,0,3,11,11
2/15/2020,14,0,3,11,11
2/16/2020,14,0,3,11,11
2/17/2020,14,0,3,11,11
2/18/2020,14,0,3,11,11
2/19/2020,14,0,3,11,11
2/20/2020,14,0,3,11,11
2/21/2020,16,0,5,11,11
2/22/2020,16,0,5,11,11
2/23/2020,16,0,5,11,11
2/24/2020,16,0,5,11,11
2/25/2020,16,0,6,10,10
2/26/2020,16,0,6,10,10
2/27/2020,17,0,6,11,11
2/28/2020,17,0,7,10,10
2/29/2020,25,1,7,18,17
3/1/2020,32,1,7,25,24
3/2/2020,55,6,7,48,42
3/3/2020,74,7,7,67,60
3/4/2020,107,11,7,100,89
3/5/2020,184,12,7,177,165
3/6/2020,237,14,7,230,216
3/7/2020,403,17,7,396,379
3/8/2020,519,21,7,512,491
3/9/2020,594,22,7,587,565
3/10/2020,782,28,8,774,746
3/11/2020,1147,33,8,1139,1106
3/12/2020,1586,43,12,1574,1531
3/13/2020,2219,51,12,2207,2156
3/14/2020,2978,58,12,2966,2908
3/15/2020,3212,70,12,3200,3130
3/16/2020,4679,97,17,4662,4565
3/17/2020,6512,134,17,6495,6361
3/18/2020,9169,194,105,9064,8870
3/19/2020,13663,266,121,13542,13276
3/20/2020,20030,372,147,19883,19511
3/21/2020,26025,475,176,25849,25374
3/22/2020,34944,603,178,34766,34163
3/23/2020,46096,790,178,45918,45128
3/24/2020,56714,1033,348,56366,55333
3/25/2020,68841,1366,361,68480,67114
3/26/2020,86662,1783,681,85981,84198
3/27/2020,105253,2305,869,104384,102079
3/28/2020,127417,3018,1072,126345,123327
3/29/2020,143544,3573,2665,140879,137306
3/30/2020,165698,4280,5644,160054,155774
3/31/2020,192079,5359,7024,185055,179696
4/1/2020,224311,6635,8474,215837,209202
4/2/2020,256541,8146,9001,247540,239394
4/3/2020,289023,9566,9707,279316,269750
4/4/2020,321199,11172,14652,306547,295375
4/5/2020,350803,12790,17448,333355,320565
4/6/2020,382661,14523,19581,363080,348557
4/7/2020,413004,17099,21763,391241,374142
4/8/2020,444153,19250,23559,420594,401344
4/9/2020,480596,21463,25410,455186,433723
4/10/2020,514943,23649,28790,486153,462504
4/11/2020,544221,25790,31270,512951,487161
4/12/2020,571093,27679,32988,538105,510426
4/13/2020,598017,29657,43482,554535,524878
4/14/2020,626412,32132,47763,578649,546517
4/15/2020,652312,34719,52096,600216,565497
4/16/2020,682268,36908,54703,627565,590657
4/17/2020,715425,39007,58545,656880,617873
4/18/2020,743419,40951,64840,678579,637628
4/19/2020,769342,42934,70337,699005,656071
4/20/2020,799022,45179,72329,726693,681514
4/21/2020,825192,47662,75204,749988,702326
4/22/2020,854611,50119,77366,777245,727126
4/23/2020,887380,52543,80203,807177,754634
4/24/2020,919532,54712,99079,820453,765741
4/25/2020,950526,56444,100372,850154,793710
4/26/2020,977073,57850,106988,870085,812235
4/27/2020,1000823,59330,111424,889399,830069
4/28/2020,1025513,61571,115936,909577,848006
4/29/2020,1051733,63962,120720,931013,867051
4/30/2020,1080974,66154,153947,927027,860873
5/1/2020,1115995,68063,164015,951980,883917
5/2/2020,1143819,69804,175382,968437,898633
5/3/2020,1168311,71007,180152,988159,917152
5/4/2020,1192024,72365,187180,1004844,932479
