date,cases,deaths
1/21/20,1,0
1/22/20,1,0
1/23/20,1,0
1/24/20,2,0
1/25/20,3,0
1/26/20,5,0
1/27/20,5,0
1/28/20,5,0
1/29/20,5,0
1/30/20,6,0
1/31/20,7,0
2/1/20,8,0
2/2/20,11,0
2/3/20,11,0
2/4/20,11,0
2/5/20,12,0
2/6/20,12,0
2/7/20,12,0
2/8/20,12,0
2/9/20,12,0
2/10/20,13,0
2/11/20,13,0
2/12/20,14,0
2/13/20,15,0
2/14/20,15,0
2/15/20,15,0
2/16/20,15,0
2/17/20,25,0
2/18/20,25,0
2/19/20,25,0
2/20/20,27,0
2/21/20,30,0
2/22/20,30,0
2/23/20,30,0
2/24/20,43,0
2/25/20,45,0
2/26/20,60,0
2/27/20,60,0
2/28/20,65,0
2/29/20,70,1
3/1/20,88,3
3/2/20,104,6
3/3/20,125,10
3/4/20,161,12
3/5/20,228,12
3/6/20,311,15
3/7/20,428,19
3/8/20,547,22
3/9/20,748,26
3/10/20,1018,31
3/11/20,1263,37
3/12/20,1668,43
3/13/20,2224,50
3/14/20,2898,60
3/15/20,3600,68
3/16/20,4507,91
3/17/20,5906,117
3/18/20,8350,162
3/19/20,12393,212
3/20/20,18012,277
3/21/20,24528,360
3/22/20,33073,458
3/23/20,43505,579
3/24/20,53938,785
3/25/20,68572,1054
3/26/20,85570,1353
3/27/20,102900,1770
3/28/20,123966,2300
3/29/20,142486,2718
3/30/20,163955,3368
3/31/20,188461,4304
4/1/20,215391,5325
4/2/20,245108,6541
4/3/20,277426,7932
4/4/20,312525,9488
4/5/20,338141,10856
4/6/20,369057,12382
4/7/20,399394,14616
4/8/20,431214,16701
4/9/20,465913,18821
4/10/20,499386,21084
4/11/20,531106,23168
4/12/20,558249,24849
4/13/20,584018,26613
4/14/20,610709,29318
4/15/20,640742,32070
4/16/20,672355,34419
4/17/20,703864,36708
4/18/20,732262,38659
4/19/20,757596,40179
4/20/20,784991,42016
4/21/20,810505,44688
4/22/20,839336,47059
4/23/20,873112,49228
4/24/20,909853,51360
4/25/20,944261,53327
4/26/20,970996,54580
4/27/20,994193,56022
4/28/20,1018844,58416
4/29/20,1045399,60930
4/30/20,1075756,63140
5/1/20,1109726,64902
5/2/20,1139200,66485
5/3/20,1165340,67816
5/4/20,1187302,68905
5/5/20,1211011,71139
5/6/20,1235517,73847
5/7/20,1263995,75805
5/8/20,1291643,77380
5/9/20,1316511,78834
5/10/20,1336828,79766
5/11/20,1354449,80748
5/12/20,1376749,82400
5/13/20,1397894,84168
5/14/20,1424856,85906
5/15/20,1451093,87499
5/16/20,1474752,88724
5/17/20,1493766,89568
5/18/20,1515593,90414
5/19/20,1536570,91934
5/20/20,1559640,93411
5/21/20,1585373,94722
5/22/20,1609172,96010
5/23/20,1631440,97060
5/24/20,1651471,97680
5/25/20,1670571,98190
5/26/20,1689467,98937
5/27/20,1708211,100422
5/28/20,1730723,101622
5/29/20,1755271,102812
5/30/20,1778668,103775
5/31/20,1799302,104379
6/1/20,1821199,105113
6/2/20,1841990,106195
6/3/20,1861977,107184
6/4/20,1883593,108192
6/5/20,1912302,109304
6/6/20,1934818,110032
6/7/20,1953434,110422
6/8/20,1971641,111144
6/9/20,1990446,112174
6/10/20,2013298,113103
6/11/20,2036500,113980
6/12/20,2061993,114759
6/13/20,2087327,115451
6/14/20,2106457,115768
6/15/20,2126574,116216
6/16/20,2151459,116985
6/17/20,2177114,117746
6/18/20,2205173,118473
6/19/20,2236009,119171
6/20/20,2268034,119717
6/21/20,2294413,119974
6/22/20,2324879,120334
6/23/20,2359939,121167
6/24/20,2396928,121934
6/25/20,2438101,124400
6/26/20,2483629,125033
6/27/20,2525928,125544
6/28/20,2565436,125815
6/29/20,2604932,126162
6/30/20,2653321,127462
7/1/20,2703296,128104
7/2/20,2758855,128827
7/3/20,2816009,129418
7/4/20,2866015,129679
7/5/20,2910782,129941
7/6/20,2958098,130332
7/7/20,3012182,131290
7/8/20,3071637,132238
7/9/20,3131526,133079
7/10/20,3199753,133907
7/11/20,3260474,134582
7/12/20,3318279,134977
7/13/20,3379846,135402
7/14/20,3445448,136356
7/15/20,3513790,137327
7/16/20,3589477,138285
7/17/20,3660400,139186
7/18/20,3722851,139961
7/19/20,3785126,140373
7/20/20,3845014,140904
7/21/20,3910291,142031
7/22/20,3980030,143167
7/23/20,4050036,144283
7/24/20,4123561,145429
7/25/20,4190337,146313
7/26/20,4244554,146753
7/27/20,4303735,148449
7/28/20,4366851,149776
7/29/20,4433633,151172
7/30/20,4502581,152433
7/31/20,4571669,153862
8/1/20,4628497,154917
8/2/20,4679291,155337
8/3/20,4726775,155945
8/4/20,4780324,157301
8/5/20,4834047,158554
8/6/20,4891561,159625
8/7/20,4952718,160981
8/8/20,5007958,161947
8/9/20,5056438,162486
8/10/20,5103611,163023
8/11/20,5156968,164474
8/12/20,5211246,165952
8/13/20,5265307,167165
8/14/20,5324784,168341
8/15/20,5375527,169400
8/16/20,5417664,169914
8/17/20,5455187,170449
8/18/20,5498420,171798
8/19/20,5541433,173093
8/20/20,5587462,174136
8/21/20,5636491,175297
8/22/20,5681517,176247
8/23/20,5713850,176693
8/24/20,5754254,177197
8/25/20,5793437,178410
8/26/20,5838756,179603
8/27/20,5884368,180729
8/28/20,5930932,181739
8/29/20,5975541,182610
8/30/20,6008970,182984
8/31/20,6045457,183472
9/1/20,6089506,184563
9/2/20,6121950,185639
9/3/20,6168347,186717
9/4/20,6220448,187697
9/5/20,6262701,188409
9/6/20,6292699,188820
9/7/20,6317865,189083
9/8/20,6346807,189541
9/9/20,6380139,190716
9/10/20,6418200,191631
9/11/20,6465767,192858
9/12/20,6504871,193559
9/13/20,6538214,193958
9/14/20,6575101,194408
9/15/20,6614318,195689
9/16/20,6653586,196686
9/17/20,6698896,197535
9/18/20,6747783,198484
9/19/20,6789594,199154
9/20/20,6825950,199367
9/21/20,6880902,199797
9/22/20,6918293,200738
9/23/20,6959842,201828
9/24/20,7005046,202713
9/25/20,7059627,203566
9/26/20,7102322,204335
9/27/20,7139620,204602
9/28/20,7176980,204952
