0 [1.00e+00, 1.00e+00]
600 [2.28e-01, 4.80e-01]
1200 [5.16e-02, -5.45e-02]
1800 [3.77e-02, -1.50e-01]
2400 [-9.02e-03, -1.03e-01]
3000 [-4.32e-03, -5.80e-02]
3600 [-3.19e-03, -4.94e-02]
4200 [-3.22e-03, -4.68e-02]
4800 [-2.83e-03, -2.62e-02]
5400 [-1.49e-03, -6.71e-03]
6000 [-6.40e-04, -2.19e-03]
6600 [-6.31e-04, -5.51e-03]
7200 [-8.21e-03, -6.54e-02]
7800 [-8.22e-03, -8.38e-02]
8400 [-7.05e-03, -7.42e-02]
9000 [-1.00e-02, -9.83e-02]
9600 [-7.56e-03, -5.88e-02]
10200 [-4.81e-03, -2.36e-02]
10800 [-2.70e-03, -1.24e-02]
11400 [-9.80e-04, -5.57e-03]
12000 [-1.79e-04, -1.05e-03]
12600 [-1.22e-04, -3.13e-04]
13200 [-1.20e-04, -1.91e-04]
13800 [-1.27e-04, -5.90e-04]
14400 [-1.30e-04, -7.29e-04]
15000 [-1.21e-04, -7.32e-04]
15600 [-1.22e-04, -9.77e-04]
16200 [-1.38e-04, -9.65e-04]
16800 [-9.78e-05, -9.56e-04]
17400 [-8.53e-05, -8.96e-04]
18000 [-8.27e-05, -1.45e-03]
18600 [-6.63e-05, -2.52e-03]
19200 [-1.49e-04, -2.44e-03]
19800 [-9.03e-05, -1.55e-03]
20400 [-8.31e-05, -5.80e-04]
21000 [-7.09e-05, -2.20e-04]
21600 [-7.22e-05, 7.58e-04]
22200 [-6.42e-05, 2.27e-03]
22800 [-2.69e-05, 3.32e-03]
23400 [-2.02e-04, 1.18e-01]
24000 [3.46e-03, 2.64e-01]
24600 [6.16e-03, 3.49e-01]
25200 [7.41e-03, 3.92e-01]
25800 [8.04e-03, 4.14e-01]
26400 [8.29e-03, 4.23e-01]
27000 [8.50e-03, 4.27e-01]
27600 [8.58e-03, 4.24e-01]
28200 [8.41e-03, 4.19e-01]
28800 [8.10e-03, 4.11e-01]
29400 [7.76e-03, 3.99e-01]
30000 [7.35e-03, 3.88e-01]
30600 [7.01e-03, 3.78e-01]
31200 [6.76e-03, 3.71e-01]
31800 [6.83e-03, 3.66e-01]
32400 [6.76e-03, 3.62e-01]
33000 [6.66e-03, 3.57e-01]
33600 [6.54e-03, 3.51e-01]
34200 [6.49e-03, 3.45e-01]
34800 [6.32e-03, 3.40e-01]
35400 [6.30e-03, 3.36e-01]
36000 [6.27e-03, 3.36e-01]
36600 [6.41e-03, 3.41e-01]
37200 [6.53e-03, 3.49e-01]
37800 [6.69e-03, 3.60e-01]
38400 [7.00e-03, 3.72e-01]
39000 [7.41e-03, 3.85e-01]
39600 [8.06e-03, 3.97e-01]
40200 [8.11e-03, 4.08e-01]
40800 [8.43e-03, 4.17e-01]
41400 [8.74e-03, 4.26e-01]
42000 [8.85e-03, 4.32e-01]
42600 [9.16e-03, 4.38e-01]
43200 [9.29e-03, 4.42e-01]
43800 [9.41e-03, 4.45e-01]
44400 [9.51e-03, 4.48e-01]
45000 [9.46e-03, 4.50e-01]
45600 [9.41e-03, 4.52e-01]
46200 [9.63e-03, 4.53e-01]
46800 [9.80e-03, 4.54e-01]
47400 [9.65e-03, 4.55e-01]
48000 [9.66e-03, 4.56e-01]
48600 [9.66e-03, 4.58e-01]
49200 [9.74e-03, 4.59e-01]
49800 [9.83e-03, 4.60e-01]
50400 [9.85e-03, 4.61e-01]
51000 [1.03e-02, 4.62e-01]
51600 [9.86e-03, 4.63e-01]
52200 [9.97e-03, 4.64e-01]
52800 [1.00e-02, 4.65e-01]
53400 [1.01e-02, 4.66e-01]
54000 [1.02e-02, 4.67e-01]
54600 [1.01e-02, 4.68e-01]
55200 [1.02e-02, 4.69e-01]
55800 [1.02e-02, 4.70e-01]
56400 [1.02e-02, 4.71e-01]
57000 [1.03e-02, 4.71e-01]
57600 [1.03e-02, 4.72e-01]
58200 [1.03e-02, 4.72e-01]
58800 [1.03e-02, 4.73e-01]
59400 [1.04e-02, 4.74e-01]
60000 [1.04e-02, 4.74e-01]
